"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"084002","Alessandria della Rocca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2452,"e","dato stimato"
"075002","Alessano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6009,"e","dato stimato"
"075003","Alezio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",5620,"e","dato stimato"
"065004","Alfano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",953,"e","dato stimato"
"066003","Alfedena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",944,"e","dato stimato"
"017004","Alfianello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2327,"e","dato stimato"
"006004","Alfiano Natta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",695,"e","dato stimato"
"039001","Alfonsine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",11477,"e","dato stimato"
"090003","Alghero","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",42380,"e","dato stimato"
"016248","Algua","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",675,"e","dato stimato"
"083002","Alì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",657,"e","dato stimato"
"083003","Alì Terme","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2315,"e","dato stimato"
"082001","Alia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3305,"e","dato stimato"
"077002","Aliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",880,"e","dato stimato"
"006005","Alice Bel Colle","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",680,"e","dato stimato"
"061002","Alife","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",7376,"e","dato stimato"
"082002","Alimena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1761,"e","dato stimato"
"082003","Aliminusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1054,"e","dato stimato"
"095005","Allai","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",357,"e","dato stimato"
"025003","Alleghe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1100,"e","dato stimato"
"007001","Allein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",207,"e","dato stimato"
"055002","Allerona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1688,"e","dato stimato"
"075004","Alliste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6418,"e","dato stimato"
"058004","Allumiere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3754,"e","dato stimato"
"016005","Almè","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",5496,"e","dato stimato"
"016006","Almenno San Bartolomeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6557,"e","dato stimato"
"016007","Almenno San Salvatore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",5521,"e","dato stimato"
"001006","Almese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",6280,"e","dato stimato"
"024003","Alonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1580,"e","dato stimato"
"001007","Alpette","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",251,"e","dato stimato"
"001008","Alpignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",16497,"e","dato stimato"
"033002","Alseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",4684,"e","dato stimato"
"072004","Altamura","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",69880,"e","dato stimato"
