"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y49","49 years","2021","2021",33.523,,
"ITD59","Rimini","LIFEXP","life expectancy - ex","9","total","Y50","50 years","2021","2021",34.38,,
"ITE15","Prato","LIFEXP","life expectancy - ex","9","total","Y50","50 years","2021","2021",33.422,,
"ITD59","Rimini","LIFEXP","life expectancy - ex","9","total","Y51","51 years","2021","2021",33.441,,
"ITF35","Salerno","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",31.034,,
"ITF45","Lecce","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",32.121,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y53","53 years","2021","2021",29.924,,
"ITE42","Rieti","LIFEXP","life expectancy - ex","9","total","Y54","54 years","2021","2021",30.038,,
"ITF14","Chieti","LIFEXP","life expectancy - ex","9","total","Y54","54 years","2021","2021",30.242,,
"ITF52","Matera","LIFEXP","life expectancy - ex","9","total","Y54","54 years","2021","2021",30.509,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y55","55 years","2021","2021",29.941,,
"ITF62","Crotone","LIFEXP","life expectancy - ex","9","total","Y55","55 years","2021","2021",28.057,,
"ITD41","Pordenone","LIFEXP","life expectancy - ex","9","total","Y56","56 years","2021","2021",28.74,,
"ITF35","Salerno","LIFEXP","life expectancy - ex","9","total","Y56","56 years","2021","2021",27.433,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y56","56 years","2021","2021",27.385,,
"ITG14","Agrigento","LIFEXP","life expectancy - ex","9","total","Y56","56 years","2021","2021",27.328,,
"ITF51","Potenza","LIFEXP","life expectancy - ex","9","total","Y58","58 years","2021","2021",26.287,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y59","59 years","2021","2021",24.553,,
